Var2	F.score	L1	RawMedian
299	scmerge_limma_trend_false	62	2	124
300	scmerge_limma_trend_false	40	2	124
301	seurat3	35	2	124
302	seurat3	36	2	124
303	seurat3	66	2	124
304	seurat3	86	2	124
305	seurat3	40	2	124
306	seurat3	56	2	124
307	zinbwave	22	2	124
308	zinbwave	15	2	124
309	zinbwave	42	2	124
310	zinbwave	19	2	124
311	zinbwave	8	2	124
312	zinbwave	8	2	124
313	zinbwave_deseq2	0	2	124
314	zinbwave_deseq2	1	2	124
315	zinbwave_deseq2	0	2	124
316	zinbwave_deseq2	4	2	124
317	zinbwave_deseq2	8	2	124
318	zinbwave_deseq2	7	2	124
319	zinbwave_edger	61	2	124
320	zinbwave_edger	50	2	124
321	zinbwave_edger	59	2	124
322	zinbwave_edger	58	2	124
323	zinbwave_edger	79	2	124
324	zinbwave_edger	50	2	124
325	zinbwave_deseq2_cov	6	2	124
326	zinbwave_deseq2_cov	8	2	124
327	zinbwave_deseq2_cov	16	2	124
328	zinbwave_deseq2_cov	11	2	124
329	zinbwave_deseq2_cov	22	2	124
330	zinbwave_deseq2_cov	2	2	124
331	zinbwave_edger_cov	82	2	124
332	zinbwave_edger_cov	57	2	124
333	zinbwave_edger_cov	62	2	124
334	zinbwave_edger_cov	72	2	124
335	zinbwave_edger_cov	83	2	124
336	zinbwave_edger_cov	61	2	124
337	raw_data	52	2	124
338	raw_data	56	2	124
339	raw_data	56	2	124
340	raw_data	48	2	124
341	raw_data	56	2	124
342	raw_data	43	2	124
343	pseudo_bulk_deseq2	0	2	124
344	pseudo_bulk_deseq2	0	2	124
345	pseudo_bulk_deseq2	0	2	124
346	pseudo_bulk_deseq2	0	2	124
347	pseudo_bulk_deseq2	0	2	124
348	pseudo_bulk_deseq2	0	2	124
349	pseudo_bulk_edger	0	2	124
350	pseudo_bulk_edger	0	2	124
351	pseudo_bulk_edger	0	2	124
352	pseudo_bulk_edger	0	2	124
353	pseudo_bulk_edger	0	2	124
354	pseudo_bulk_edger	0	2	124
355	pseudo_bulk_limma	0	2	124
356	pseudo_bulk_limma	0	2	124
357	pseudo_bulk_limma	0	2	124
358	pseudo_bulk_limma	0	2	124
359	pseudo_bulk_limma	0	2	124
360	pseudo_bulk_limma	0	2	124
361	pseudo_bulk_limmatrend	0	2	124
362	pseudo_bulk_limmatrend	0	2	124
363	pseudo_bulk_limmatrend	0	2	124
364	pseudo_bulk_limmatrend	0	2	124
365	pseudo_bulk_limmatrend	0	2	124
366	pseudo_bulk_limmatrend	0	2	124
367	mast	45	2	124
368	mast	38	2	124
369	mast	50	2	124
370	mast	47	2	124
371	mast	50	2	124
372	mast	49	2	124
373	mast_cov	44	2	124
374	mast_cov	48	2	124
375	mast_cov	58	2	124
376	mast_cov	47	2	124
377	mast_cov	61	2	124
378	mast_cov	51	2	124
379	deseq2	0	2	124
380	deseq2	1	2	124
381	deseq2	0	2	124
382	deseq2	4	2	124
383	deseq2	8	2	124
384	deseq2	7	2	124
385	deseq2_cov	6	2	124
386	deseq2_cov	8	2	124
387	deseq2_cov	16	2	124
388	deseq2_cov	11	2	124
389	deseq2_cov	22	2	124
390	deseq2_cov	2	2	124
391	edger	118	2	124
392	edger	120	2	124
393	edger	117	2	124
394	edger	153	2	124
395	edger	167	2	124
396	edger	153	2	124
397	edger_cov	145	2	124
398	edger_cov	134	2	124
399	edger_cov	138	2	124
400	edger_cov	157	2	124
401	edger_cov	182	2	124
402	edger_cov	151	2	124
403	edger_detrate	130	2	124
404	edger_detrate	140	2	124
405	edger_detrate	135	2	124
406	edger_detrate	167	2	124
407	edger_detrate	157	2	124
408	edger_detrate	160	2	124
409	edger_detrate_cov	149	2	124
410	edger_detrate_cov	146	2	124
411	edger_detrate_cov	167	2	124
412	edger_detrate_cov	168	2	124
413	edger_detrate_cov	168	2	124
414	edger_detrate_cov	162	2	124
415	limma_voom	57	2	124
416	limma_voom	96	2	124
417	limma_voom	165	2	124
418	limma_voom	107	2	124
419	limma_voom	82	2	124
420	limma_voom	102	2	124
421	limma_voom_cov	76	2	124
422	limma_voom_cov	86	2	124
423	limma_voom_cov	184	2	124
424	limma_voom_cov	121	2	124
425	limma_voom_cov	79	2	124
426	limma_voom_cov	78	2	124
427	limma_trend_false	57	2	124
428	limma_trend_false	53	2	124
429	limma_trend_false	56	2	124
430	limma_trend_false	43	2	124
431	limma_trend_false	71	2	124
432	limma_trend_false	39	2	124
433	limma_trend_false_cov	56	2	124
434	limma_trend_false_cov	56	2	124
435	limma_trend_false_cov	64	2	124
436	limma_trend_false_cov	45	2	124
437	limma_trend_false_cov	77	2	124
438	limma_trend_false_cov	40	2	124
439	combat_limma_trend_false	59	2	124
440	combat_limma_trend_false	65	2	124
441	combat_limma_trend_false	65	2	124
442	combat_limma_trend_false	47	2	124
443	combat_limma_trend_false	66	2	124
444	combat_limma_trend_false	40	2	124
445	voom+REM	91	2	124
446	voom+REM	83	2	124
447	voom+REM	62	2	124
448	voom+REM	47	2	124
449	voom+REM	102	2	124
450	voom+REM	81	2	124
451	voom+FEM	108	2	124
452	voom+FEM	104	2	124
453	voom+FEM	78	2	124
454	voom+FEM	71	2	124
455	voom+FEM	142	2	124
456	voom+FEM	105	2	124
457	LogNormalize+REM	106	2	124
458	LogNormalize+REM	95	2	124
459	LogNormalize+REM	123	2	124
460	LogNormalize+REM	92	2	124
461	LogNormalize+REM	91	2	124
462	LogNormalize+REM	94	2	124
463	LogNormalize+FEM	127	2	124
464	LogNormalize+FEM	119	2	124
465	LogNormalize+FEM	153	2	124
466	LogNormalize+FEM	129	2	124
467	LogNormalize+FEM	121	2	124
468	LogNormalize+FEM	122	2	124
469	deseq2+REM	1	2	124
470	deseq2+REM	0	2	124
471	deseq2+REM	0	2	124
472	deseq2+REM	0	2	124
473	deseq2+REM	1	2	124
474	deseq2+REM	1	2	124
475	deseq2+FEM	1	2	124
476	deseq2+FEM	1	2	124
477	deseq2+FEM	1	2	124
478	deseq2+FEM	1	2	124
479	deseq2+FEM	2	2	124
480	deseq2+FEM	2	2	124
481	voom+modt_Fisher	144	2	124
482	voom+modt_Fisher	123	2	124
483	voom+modt_Fisher	136	2	124
484	voom+modt_Fisher	101	2	124
485	voom+modt_Fisher	142	2	124
486	voom+modt_Fisher	122	2	124
487	voom+modt_wFisher	151	2	124
488	voom+modt_wFisher	118	2	124
489	voom+modt_wFisher	134	2	124
490	voom+modt_wFisher	104	2	124
491	voom+modt_wFisher	134	2	124
492	voom+modt_wFisher	119	2	124
493	edgeR_Fisher	522	2	124
494	edgeR_Fisher	458	2	124
495	edgeR_Fisher	452	2	124
496	edgeR_Fisher	368	2	124
497	edgeR_Fisher	316	2	124
498	edgeR_Fisher	281	2	124
499	edgeR_wFisher	466	2	124
500	edgeR_wFisher	423	2	124
501	edgeR_wFisher	411	2	124
502	edgeR_wFisher	349	2	124
503	edgeR_wFisher	289	2	124
504	edgeR_wFisher	272	2	124
505	deseq2_Fisher	298	2	124
506	deseq2_Fisher	313	2	124
507	deseq2_Fisher	350	2	124
508	deseq2_Fisher	309	2	124
509	deseq2_Fisher	238	2	124
510	deseq2_Fisher	279	2	124
511	deseq2_wFisher	314	2	124
512	deseq2_wFisher	321	2	124
513	deseq2_wFisher	360	2	124
514	deseq2_wFisher	331	2	124
515	deseq2_wFisher	248	2	124
516	deseq2_wFisher	295	2	124
517	LogNormalize+limma_trend_Fisher	164	2	124
518	LogNormalize+limma_trend_Fisher	177	2	124
519	LogNormalize+limma_trend_Fisher	212	2	124
520	LogNormalize+limma_trend_Fisher	181	2	124
521	LogNormalize+limma_trend_Fisher	172	2	124
522	LogNormalize+limma_trend_Fisher	177	2	124
523	LogNormalize+limma_trend_wFisher	162	2	124
524	LogNormalize+limma_trend_wFisher	172	2	124
525	LogNormalize+limma_trend_wFisher	204	2	124
526	LogNormalize+limma_trend_wFisher	181	2	124
527	LogNormalize+limma_trend_wFisher	170	2	124
528	LogNormalize+limma_trend_wFisher	175	2	124
