"pvalue" "adjpvalue" "logFC" "score"
"CALCR" 0.571867184874457 0.620202113020449 0.164026026898575 0.428132815125543
"HCCS" 0.00329034495986119 0.00539932585793074 0.232239804043795 0.996709655040139
"DVL2" 0.00648966602890539 0.0102138781596619 0.214862725664821 0.993510333971095
"PRSS22" 1.31775382307241e-07 3.66575567649791e-07 1.33166345321609 0.999999868224618
"UPF1" 0.0503564939404536 0.068743113903138 0.16143677997121 0.949643506059547
"SKAP2" 0.00158057117903706 0.00271375692428026 -0.33006873428154 0.998419428820963
"SLC25A5" 0.0317420537722505 0.0448661454116754 0.213428008440249 0.96825794622775
"HOXA11" 0.00195998131621424 0.00331823424699243 1.25179966271522 0.998040018683786
"POLR2J" 1.75707357078749e-07 4.81560571337833e-07 0.639621485820557 0.999999824292643
"DHX33" 9.54298273938632e-09 2.97945738682853e-08 0.471042233669762 0.999999990457017
"MEOX1" 1.6113438116521e-05 3.54175038677251e-05 -0.898264247281716 0.999983886561884
"THSD7A" 8.27656608128197e-09 2.59915759978577e-08 -0.986739131067309 0.999999991723434
"LIG3" 2.31654863987723e-19 1.86352184601396e-18 0.79446376677524 1
"RPAP3" 3.53352621848932e-16 2.21157331695826e-15 0.587797877380033 1
"ACSM3" 0.0653185700377762 0.0873133777672213 -0.337223959023185 0.934681429962224
"CIAPIN1" 7.0735211270146e-05 0.000144397952484013 0.299869187645209 0.99992926478873
"SPPL2B" 4.20156642039733e-06 9.86563761749723e-06 0.551780510349736 0.99999579843358
"FAM214B" 0.0426011524061182 0.0588383273812536 -0.176150504222486 0.957398847593882
"COPZ2" 0.000687208502029451 0.00123884943883235 -0.465221963878253 0.999312791497971
"PRKAR2B" 0.000159398767699957 0.000312310826558869 -0.621256534515582 0.9998406012323
"MSL3" 0.678416176376144 0.719643177163487 0.0237852744743659 0.321583823623856
"CREBBP" 0.718291102119628 0.756123037859776 0.027537982514851 0.281708897880372
"MPO" 9.71433927028181e-07 2.44893057346632e-06 -0.900887312608754 0.999999028566073
"PON1" 0.0390579220929456 0.054288626804302 0.622305533831668 0.960942077907054
"GCFC2" 0.0200422346165156 0.0293021394243818 0.185152194819313 0.979957765383484
"WDR54" 0.140836013018355 0.176608929713346 -0.18823159763123 0.859163986981645
"CROT" 0.538233558988372 0.588234792852924 -0.0625008630579655 0.461766441011628
"ABCB4" 2.45669178591747e-12 1.10158414831979e-11 1.65036749360686 0.999999999997543
"KMT2E" 0.0460333100685594 0.0632805981501573 -0.151545348065331 0.953966689931441
"RHBDD2" 7.51395813109656e-06 1.71248595021134e-05 -0.430234088822664 0.999992486041869
"SOX8" 0.339595884877865 0.391238716228221 0.22836218913714 0.660404115122135
"IBTK" 0.00808397336992813 0.0125661532848468 0.199611304477372 0.991916026630072
"ZNF195" 8.56401717380653e-11 3.2864390434529e-10 0.627006566398831 0.99999999991436
"MYCBP2" 0.008005296842005 0.0124570605658175 -0.27436525565941 0.991994703157995
"FBXL3" 1.63791834547418e-22 1.70185717534644e-21 -0.735409437425113 1
"ITGAL" 2.87304293891432e-20 2.48468147784177e-19 -1.41354329107012 1
"PDK2" 0.00213403782209129 0.00359514268148218 -0.305087350140478 0.997865962177909
"ITGA3" 0.845737151965384 0.867686185614762 -0.0320140197901964 0.154262848034616
"ZFX" 0.00725151680354077 0.0113431979947928 -0.184559849610125 0.992748483196459
"LAMP2" 0.814886745110464 0.840633726375866 0.0194653403267632 0.185113254889536
"ITGA2B" 4.0469934838382e-05 8.49368352645756e-05 -0.87762804285724 0.999959530065162
"ASB4" 0.00472118856798702 0.00758824617967739 -0.721573605647108 0.995278811432013
"GDE1" 0.0982621240235215 0.127227245594877 0.139890107226282 0.901737875976478
