"pvalue" "adjpvalue" "logFC"
"RGS9" 3.09552211591805e-52 2.48396399042996e-50 -2.43103874082
"SASH1" 3.55568067099022e-52 2.83908779912877e-50 -1.83547728158158
"RMI2" 4.67967309643128e-52 3.71815011686404e-50 2.1878818320276
"ARHGAP31" 4.91396501842287e-52 3.88516381285013e-50 -2.29054102977154
"THBD" 5.10811848370869e-52 4.01896795237744e-50 -2.59528238833842
"ADAMTS8" 5.70042545882023e-52 4.46321175851027e-50 -4.32751784488495
"CENPF" 5.9839327405384e-52 4.66255319672192e-50 3.0851407832385
"CASP12" 6.53757604961276e-52 5.06945019731751e-50 -2.34538252073106
"GSTM5" 6.93137062288983e-52 5.34909458261197e-50 -2.60588305196695
"ASPM" 7.90910732096014e-52 6.07457104665553e-50 3.2334693196595
"SLC4A1" 8.07571573736268e-52 6.17313834729491e-50 -2.36918149199406
"NMUR1" 8.82494714923008e-52 6.71403644197792e-50 -2.73173579416462
"EFCC1" 9.63471686985109e-52 7.29569710769146e-50 -2.77659166029206
"TGM1" 1.10394445110141e-51 8.32033647281059e-50 -2.52770048724899
"ADPRH" 1.22460716189249e-51 9.18683205309952e-50 -1.6468024525632
"DLGAP5" 1.3079200443589e-51 9.76640851641881e-50 3.2744525752941
"OVCH2" 1.47255279265558e-51 1.09450709643972e-49 -3.33179864685545
"SPTBN2" 1.50174808582184e-51 1.11108692092755e-49 2.43320817504994
"CDCA8" 1.57797607461214e-51 1.16215416015613e-49 2.72510398088587
"NDST1" 1.90100464333439e-51 1.39369563147002e-49 -1.52421888214561
"EFNA3" 2.67363942494034e-51 1.95127286356845e-49 2.65578526196196
"RCC1" 3.44947590548341e-51 2.50615301259198e-49 1.64089801733928
"SMAD6" 3.56817861843491e-51 2.58076918998819e-49 -2.34052603638097
"KIF2C" 3.70184274172066e-51 2.66549203487556e-49 3.15186784196523
"SESN1" 3.78585886998503e-51 2.71387189839949e-49 -1.71465733217861
"RAI2" 4.77002766316637e-51 3.40423788403586e-49 -2.31876120581888
"ASPA" 5.2828218633387e-51 3.75359620413172e-49 -2.95952054291918
"ACTN2" 5.61063851597513e-51 3.96903458877907e-49 -3.14843629791697
"IGSF9" 6.10376819511837e-51 4.29902520607267e-49 3.21803886489797
"CNOT11" 8.00304556177653e-51 5.61222268982147e-49 1.12698057356221
"NUF2" 8.65195194819975e-51 6.0410100853902e-49 3.1788831037313
"SLC6A13" 1.02968357868342e-50 7.15852001749345e-49 -2.90393087145867
"CDO1" 1.06875929820785e-50 7.39829129647832e-49 -2.99729470068218
"TIE1" 1.07845517664644e-50 7.43350578808995e-49 -2.07461407514994
"SERINC1" 1.19255835822627e-50 8.17108118376178e-49 -1.15492677036131
"NXPH3" 1.195594989998e-50 8.17108118376178e-49 -2.60699770264199
"TNR" 1.25251319778015e-50 8.52396007046248e-49 -3.71586057207898
"HBB" 1.59727773663991e-50 1.08245767286828e-48 -4.91488439903319
"AGRP" 1.60412636782317e-50 1.0825503843774e-48 -3.06619326528524
"LRRC36" 1.74193602321195e-50 1.17065358826606e-48 -3.8913562674783
