"pvalue" "adjpvalue" "logFC"
"FAM214B" 0.274508533182286 0.315170387500549 -0.0930261439760099
"COPZ2" 0.145374778774618 0.175505225064058 -0.201603051480921
"PRKAR2B" 0.295351257788185 0.336944436049345 -0.175767977526872
"MSL3" 0.348253522043586 0.390991302870736 0.0529479846807479
"CREBBP" 0.341699010669854 0.384194028797078 0.0709398876541961
"MPO" 0.00554656096945095 0.0082096431931976 -0.55566146277999
"PON1" 1.68948219314921e-07 4.14822016947839e-07 1.7529299118068
"GCFC2" 0.000436741001356146 0.000738307893394118 0.278109792274842
"WDR54" 0.152384990835928 0.183255108648426 -0.178880632929415
"CROT" 0.421075627966172 0.464727576533898 0.0815359445920891
"ABCB4" 2.05887331799752e-15 1.15424288307202e-14 2.21870697688108
"KMT2E" 0.198773537318798 0.234443757470924 -0.0990179993804366
"RHBDD2" 9.51909408449217e-05 0.000173327464990714 -0.341028031018168
"SOX8" 0.00301891498579672 0.0046153630147787 0.809716295530144
"IBTK" 0.000281805195230294 0.000487424771460526 0.288471762603625
"ZNF195" 1.642258227505e-14 8.43029374647615e-14 0.716715090217928
"MYCBP2" 0.170207883565478 0.203203771578652 -0.145962609523541
"FBXL3" 4.06339353444749e-21 3.86429683473488e-20 -0.682111958753243
"ITGAL" 7.94095713133833e-17 5.11909262875124e-16 -1.14113589902098
"PDK2" 0.0556719177270398 0.071696930774467 -0.185428152720587
"ITGA3" 0.0256842582454906 0.034718521726577 0.363236832719596
"ZFX" 0.201164894119569 0.237073547950791 -0.0942018193193296
"LAMP2" 0.223554506105848 0.26118874530831 0.107898954802419
"ITGA2B" 0.41536859306197 0.459025696299864 -0.198414950224881
"ASB4" 0.0622149425328189 0.0795832189794461 0.602495507826762
"GDE1" 0.0107147048013277 0.0152868176683427 0.228241081049107
"CRLF1" 6.68396755411861e-12 2.59772801639468e-11 3.88003806631819
"OSBPL7" 6.05163539903844e-07 1.39797804856905e-06 0.704071512604912
"TMEM98" 0.664610403879178 0.700254847410979 -0.0616709982884309
"YBX2" 1.47249493450486e-22 1.58649771533927e-21 4.68564900375059
"KRT33A" 5.72804939962405e-09 1.64128102267785e-08 4.93781385512458
"MAP3K14" 2.10848673438796e-07 5.11780023159418e-07 -0.548987589664956
"ABCC8" 0.511555509991302 0.554047731711637 -0.23257155087599
"TMEM132A" 2.76792657067772e-24 3.41575269001231e-23 2.09049128354191
"AP2B1" 0.0226969572370854 0.0309423737027259 0.180742333015079
"TAC1" 7.21260377936804e-05 0.000133164018266286 3.4502280539528
"ZNF263" 1.11494823906167e-06 2.51475320204527e-06 0.27504129478259
"CX3CL1" 1.45169954030126e-06 3.22557678544139e-06 -0.969875802513868
"SPATA20" 5.34405026202354e-15 2.8607430028602e-14 0.95381631290771
"CACNA1G" 2.09889350278995e-05 4.10489308918383e-05 1.33158197779382
"TNFRSF12A" 0.00498510085802886 0.00741740698700623 0.500045948646652
"DLX6" 1.48245137061539e-13 6.86096360305758e-13 4.94292320213152
"MAP3K9" 1.97073285032801e-08 5.35567820437077e-08 0.705519475513861
"RALA" 1.21720893792148e-06 2.72975013344487e-06 -0.35954898609527
"BAIAP2L1" 2.10894633970627e-24 2.62462928341994e-23 1.35078237201079
"KDM7A" 0.207320105129874 0.243739775176014 0.123213792863655
"ETV1" 4.41630577373659e-13 1.94832045472094e-12 -1.14179951052021
"AGK" 6.14595185382479e-18 4.3823190738435e-17 0.596829293525053
"ALDH3B1" 6.86707271932513e-06 1.4149082254726e-05 -0.767013210651489
"TTC22" 9.18706466885448e-13 3.93776683614015e-12 1.05068744075545
"PHTF2" 4.18376588529691e-11 1.49589802624593e-10 0.672353959468878
"CCL26" 0.000120657354072633 0.000217366521147939 1.17199090197043
"FARP2" 3.45617792598971e-05 6.6040390674432e-05 0.340758957794875
"USH1C" 6.86219676441402e-09 1.95306814210753e-08 3.48328183230074
"GGCT" 2.77652753996132e-34 7.03023747127726e-33 1.7586337391961
"DBF4" 3.45964777532909e-25 4.57757661757859e-24 1.44284744984682
"TBXA2R" 5.16528638625521e-17 3.3949023685375e-16 -0.95035273085774
"IFRD1" 0.0038674484097377 0.00582863720806011 0.377802802428636
"LGALS14" 0.00026705549213531 0.000463304080095775 2.38726324047055
"COX10" 6.93046273129305e-08 1.77487191795849e-07 0.373731274553401
"GTF2IRD1" 2.6056874841353e-22 2.73792400205982e-21 0.986114727828649
"PAF1" 0.147795896579288 0.178134809141185 0.117500545369504
"VPS41" 0.00431211937200886 0.00646437153556379 0.205379660845444
"ARHGAP44" 3.12700103910191e-26 4.46726304337243e-25 -1.52445063611491
"ELAC2" 6.55879603985229e-06 1.35571986834266e-05 0.306450754789878
"SCIN" 1.25994951910223e-07 3.13849047005403e-07 1.56112271649216
"ARSD" 0.000214912027230279 0.000376037761683356 0.455083928335663
