"pvalue" "adjpvalue" "logFC" "score"
"ABCA7" 0.0953334807615788 0.174182405061539 0.206508191511046 0.904666519238421
"ABCA8" 2.39732179186665e-05 0.000152021883288333 -1.34224162226995 0.999976026782081
"ABCA8.1" 1.70996275547677e-08 2.78073000599758e-07 -2.4841214882933 0.999999982900372
"ABCA9" 1.79449286665719e-07 2.15362849320747e-06 -1.22244350789546 0.999999820550713
"ABCA9.1" 4.63303228988216e-08 6.66349842009174e-07 -1.47049649738774 0.999999953669677
"ABCB1" 3.5809473494914e-10 9.94890112236371e-09 -1.98549123623697 0.999999999641905
"ABCB1.1" 6.83391491883308e-11 2.35908330890517e-09 -1.49291082833559 0.999999999931661
"ABCB10" 0.0544939785493799 0.110491994149929 -0.169295780925654 0.94550602145062
"ABCB11" 0.408001204809773 0.535921758770305 -0.264010620825801 0.591998795190227
"ABCB11.1" 0.426080825314794 0.553624756576788 -0.281012079018634 0.573919174685206
"ABCB4" 0.200259575718999 0.311925633570769 0.457015103464508 0.799740424281001
"ABCB4.1" 1.5759054541298e-05 0.000105272801843892 -0.952173600283244 0.999984240945459
"ABCB5" 0.942293433000598 0.962493254747641 -0.0144017690555026 0.0577065669994017
"ABCB5.1" 0.701705387086403 0.791028966765554 -0.146334756762529 0.298294612913597
"ABCB6" 7.44097357198778e-06 5.47970101876592e-05 0.701137579156372 0.999992559026428
"ABCB7" 4.31505648709505e-06 3.40297640497036e-05 0.438086925473784 0.999995684943513
"ABCB8" 0.23254276132425 0.350841569880567 0.415444148761203 0.76745723867575
"ABCB8.1" 0.518350130586431 0.6374224410577 0.0746980715389744 0.481649869413569
"ABCB9" 0.180814833976376 0.288452701099742 0.198176164101225 0.819185166023624
"ABCB9.1" 0.0165156924150274 0.0410819746985098 0.483645295532963 0.983484307584973
"ABCC1" 0.154268693609579 0.254945502616348 0.171949579097483 0.845731306390421
"ABCC1.1" 0.0211118392947265 0.0505315868953869 0.30318280300392 0.978888160705274
"ABCC10" 4.00047470395519e-06 3.18251424565962e-05 0.501221173606553 0.999995999525296
"ABCC10.1" 2.94266644930623e-05 0.0001807988595037 0.36162528614212 0.999970573335507
"ABCC11" 0.183734681951839 0.292078667634726 0.338299087186464 0.81626531804816
"ABCC11.1" 0.375775726026317 0.504225592959054 0.348212312573967 0.624224273973683
"ABCC12" 0.0205421725053788 0.049402356978214 0.813473632638937 0.979457827494621
"ABCC12.1" 0.103744765391368 0.186269010589048 0.637810740593561 0.896255234608632
"ABCC2" 0.848827161803547 0.899906032945218 0.0939819240446029 0.151172838196453
"ABCC3" 3.64522410737624e-19 1.80637423720981e-16 2.90709196791089 1
"ABCC3.1" 1.82255383694578e-16 3.65247829602626e-14 2.90424390755969 1
"ABCC4" 0.325124741073958 0.45345480957188 0.298459628500166 0.674875258926042
"ABCC4.1" 0.480652720874776 0.603751032696194 -0.168296017817216 0.519347279125224
"ABCC5" 5.21114205814977e-06 4.0076093903745e-05 1.05779475280544 0.999994788857942
"ABCC5.1" 0.000201183072108146 0.000960792821150783 0.49614313081527 0.999798816927892
"ABCC6" 0.0349637911458541 0.076849849006472 1.01811588420962 0.965036208854146
"ABCC6.1" 0.0021255245643319 0.00725136712991188 0.883130516733709 0.997874475435668
"ABCC8" 0.0791699373610412 0.149814388861708 -0.60885318634312 0.920830062638959
"ABCC9" 5.9165394386288e-07 6.0350030838259e-06 -1.02647389965769 0.999999408346056
"ABCC9.1" 1.2220762644066e-06 1.13099112347714e-05 -1.16777979036744 0.999998777923736
"ABCD1" 0.0032882464338263 0.0104930519323189 0.462254681567654 0.996711753566174
"ABCD2" 0.513168786534372 0.633184629317502 0.253539883317192 0.486831213465628
"ABCD3" 0.525091991672988 0.643584216982834 -0.117439092898307 0.474908008327012
"ABCD3.1" 0.183139731331849 0.291319795578938 0.150466768918565 0.816860268668151
"ABCD4" 0.240262154367091 0.359748955650622 -0.131182132666298 0.759737845632909
"ABCD4.1" 0.0243896020433376 0.0569613199392601 -0.407623658971945 0.975610397956662
"ABCE1" 2.56909908069748e-07 2.93834643073478e-06 0.574250467386129 0.999999743090092
"ABCE1.1" 0.114829912547271 0.201889386303436 0.133155868811359 0.885170087452729
"ABCF1" 2.94683848928842e-06 2.45015506484307e-05 0.389119412684771 0.999997053161511
"ABCF2" 0.00225154312480787 0.00762402880688762 0.372494801508333 0.997748456875192
"ABCF2.1" 1.01181194903148e-06 9.58197869035892e-06 0.633944474611145 0.999998988188051
"ABCF3" 0.0676136589074637 0.131836476858129 0.186297450497128 0.932386341092536
"ABCG1" 6.41415467360194e-05 0.000352455212961736 -0.676706422464867 0.999935858453264
"ABCG1.1" 0.00153591665828597 0.00552115649189977 -0.498276976778464 0.998464083341714
"ABCG2" 1.65373876818488e-08 2.69896108544186e-07 -1.23096245335076 0.999999983462612
"ABCG4" 0.330526067065061 0.459017316626148 0.156288624244334 0.669473932934939
"ABCG5" 0.41192026287889 0.539754171382892 0.277815687971175 0.58807973712111
"ABCG8" 0.924531578570498 0.950728500374997 -0.0263862903553165 0.0754684214295024
"ABHD1" 0.183324616867968 0.291545829894764 0.247122365985047 0.816675383132032
"ABHD1.1" 0.436624650197083 0.563429991057312 0.163087871576293 0.563375349802917
"ABHD10" 0.0975514493558205 0.177487633657736 0.133991407563195 0.90244855064418
"ABHD10.1" 0.0205945229950837 0.0494976829127872 0.220660428728156 0.979405477004916
"ABHD11" 0.626613531893129 0.731093827557672 0.170946239422689 0.373386468106871
"ABHD11.1" 3.97121355014039e-09 7.86150962031563e-08 1.05273408188074 0.999999996028786
