"pvalue" "adjpvalue" "logFC"
"ALS2" 0.336777483345236 0.383282813214459 0.0604141577757737
"CASP10" 0.532684500903659 0.579187563373002 -0.0564216624822266
"CFLAR" 2.61365750934621e-10 7.73640704133694e-10 -0.594306555593849
"TFPI" 0.0380379781634712 0.0508339174578364 -0.350451847877699
"NDUFAF7" 4.01767758507633e-20 2.43156179248391e-19 0.578406986171104
"RBM5" 0.602130976369287 0.646288049368485 0.0434079991496186
"MTMR7" 1.50913094968153e-07 3.53738890966623e-07 1.3427211906042
"SLC7A2" 0.00129880218586854 0.0020798630317587 0.806542058443709
"ARF5" 0.000198423008776351 0.000347488024815826 0.369467633690787
"SARM1" 0.264973277547797 0.307929533364682 -0.113302827834278
"POLDIP2" 7.27279346403621e-17 3.51311427916862e-16 0.624780956099847
"PLXND1" 0.00830971297648556 0.0121072593132552 -0.30635392837738
"AK2" 3.52248407966427e-15 1.50182780123989e-14 0.659492417010331
"CD38" 0.274360443722293 0.318015051934657 -0.192255836269001
"FKBP4" 3.89511724368706e-20 2.36092995202663e-19 1.12872982934966
"KDM1A" 6.52585250717827e-21 4.18012212423663e-20 0.66532133574352
"RBM6" 0.0832794808800074 0.10564016886462 0.162134676548258
"CAMKK1" 0.76542013474342 0.797510423338283 -0.0335190450812577
"RECQL" 0.634023574255732 0.676110163912113 0.0503225707013141
"HSPB6" 4.30067684655967e-35 6.36966178679163e-34 -2.40280225176785
"ARHGAP33" 3.49571045660727e-16 1.60450523490662e-15 1.31922193884738
"NDUFAB1" 2.50498740164713e-07 5.755404814981e-07 0.463181640772492
"PDK4" 5.40753740961878e-33 7.07365538359621e-32 -2.38072411770383
"SLC22A16" 0.0184393824947674 0.0256962847985228 -0.493526354130102
"ZMYND10" 1.12419007372576e-13 4.30895002355581e-13 -1.85754144275517
"ABCB5" 0.00332385200244955 0.0050709807933701 -0.677444404054872
"ARX" 1.24013719915017e-07 2.93158037301671e-07 1.57406451842157
"SLC25A13" 3.18308706684826e-32 3.99844324775666e-31 1.0835659181984
"ST7" 2.18724045538205e-12 7.61121926749881e-12 -0.592394100683763
"CDC27" 0.00228915699197828 0.00356456971651069 0.200236274962756
"SLC4A1" 1.3887037061148e-69 1.02744963651035e-67 -3.15287506350089
"CALCR" 4.43099435097797e-08 1.09044107242789e-07 1.48115060880555
"HCCS" 0.00116806828069326 0.00188096778147979 0.240168615664897
"DVL2" 0.000743692495131056 0.0012262335160467 0.254788131786996
"PRSS22" 6.31944778713963e-24 4.9239793893128e-23 1.67618390120598
"UPF1" 0.0216888038013693 0.0299271722570181 0.181049335795124
"SKAP2" 0.0542750742980601 0.0708254590091757 -0.196501231007773
"SLC25A5" 0.0061780451734077 0.00913510181535504 0.275571181463377
"HOXA11" 4.59653346841335e-19 2.60314214578789e-18 3.17764178083994
"POLR2J" 8.52716608854556e-13 3.07065554458922e-12 0.763445286870711
"DHX33" 1.38325819857957e-11 4.54205445539289e-11 0.502157508666582
"MEOX1" 4.21741836673114e-11 1.32882869382705e-10 -1.29753014797414
"THSD7A" 0.0112068199153806 0.0160656651333369 -0.466273647381966
"LIG3" 1.1173401201563e-27 1.10113510877328e-26 0.83675633279405
"RPAP3" 7.9292408715621e-21 5.04300970100257e-20 0.599659230717523
"ACSM3" 0.916030782763704 0.929165492434172 0.0175069162374976
"CIAPIN1" 1.21524777604512e-05 2.38684015828443e-05 0.317991722066565
"SPPL2B" 1.13952657652728e-09 3.19198057534014e-09 0.652743622556542
"FAM214B" 0.118692246277732 0.146651389628737 -0.130297002238976
"COPZ2" 0.0775890196820708 0.0988884471317361 -0.233952912525058
"PRKAR2B" 0.186173443671303 0.222511409631304 -0.206406162251713
"MSL3" 0.811159561399616 0.83780690098709 0.0135682691664874
"CREBBP" 0.685889000543325 0.723762099428412 0.0295057214279908
