Gene Symbol	Gene ID	Disease Name	Disease ID	Direct Evidence	Inference Network	Inference Score	Reference Count
ZDHHC5	25921	Adenocarcinoma of Lung	MESH:D000077192		Air Pollutants|Urethane|Vehicle Emissions	8.96	4
ALAS1	211	Adenocarcinoma of Lung	MESH:D000077192		Arsenic Trioxide|Genistein|Particulate Matter|trichostatin A|Urethane	8.95	7
CFAP251	144406	Adenocarcinoma of Lung	MESH:D000077192		Cisplatin|Genistein|Particulate Matter	8.95	5
MIR185	406961	Adenocarcinoma of Lung	MESH:D000077192		Cisplatin|Particulate Matter|Resveratrol	8.95	5
NXPH1	30010	Adenocarcinoma of Lung	MESH:D000077192		Genistein|Particulate Matter|Vehicle Emissions	8.95	4
OLFM1	10439	Adenocarcinoma of Lung	MESH:D000077192		Cisplatin|Genistein|Resveratrol|Vehicle Emissions	8.95	5
PTPRB	5787	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		Tobacco Smoke Pollution|tremolite	8.95	2
RETREG3	162427	Adenocarcinoma of Lung	MESH:D000077192		trichostatin A|Urethane|Vehicle Emissions	8.95	4
STAU1	6780	Adenocarcinoma of Lung	MESH:D000077192		trichostatin A|Urethane|Vehicle Emissions	8.95	4
XKRX	402415	Adenocarcinoma of Lung	MESH:D000077192		benz(a)anthracene|trichostatin A|Vehicle Emissions	8.95	3
ADH6	130	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		Tobacco Smoke Pollution|Urethane	8.94	1
APBB1	322	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		Tobacco Smoke Pollution|Urethane	8.94	1
ARHGAP17	55114	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		Tobacco Smoke Pollution|Urethane	8.94	1
CACNB4	785	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		Tobacco Smoke Pollution|Urethane	8.94	1
CDC14A	8556	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		Tobacco Smoke Pollution|Urethane	8.94	1
CHMP4C	92421	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		Tobacco Smoke Pollution|Urethane	8.94	1
COMP	1311	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		Tobacco Smoke Pollution|Urethane	8.94	1
DNMT3L	29947	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		Tobacco Smoke Pollution|Urethane	8.94	1
ESAM	90952	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		Tobacco Smoke Pollution|Urethane	8.94	1
FAM241A	132720	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		Tobacco Smoke Pollution|Urethane	8.94	1
GJA3	2700	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		Tobacco Smoke Pollution|Urethane	8.94	1
