"stat" "pval" "FDR" "sign" "logHR" "GSE29013_P" "GSE29013_HR" "GSE30219_P" "GSE30219_HR" "GSE31210_P" "GSE31210_HR" "GSE50081_P" "GSE50081_HR" "GSE37745_P" "GSE37745_HR"
"ABCB8" 1 1 1 "+" 0.0619811170195692 0.2176354693526 0.800378968930162 0.89806466272549 -0.0221519458548746 0.716735326008636 0.040083060714522 0.459518179344405 -0.148776264598252 0.214482494330136 0.219665296051776
"ABCB9" 0.0458884325661573 0.0458884325661573 0.260839511428684 "-" -0.208298140426519 0.646277559152919 -0.341429648297959 0.0917926614307104 0.255896975118333 0.0270278644797358 -0.686899832752993 0.144378599875946 0.306789125842375 0.432422522028565 -0.139569271893839
"ABCC1" 0.791554734705408 0.791554734705408 1 "+" 0.0848118007370995 0.0552258983196707 1.38764588743721 0.073279214206529 -0.121386404933136 0.84066400387437 -0.00860494537102698 0.604992732954283 0.118173844664579 0.805798107332159 0.040632837742886
"ABCC10" 1 1 1 "-" -0.0291851368427218 0.436936946717985 -0.636546415754346 0.535753903433873 0.128902078433419 0.913920865595885 -0.0181849583375985 0.7360532042701 -0.0696907657801114 0.821771104513205 0.0410186329852725
"ABCC11" 0.16802502099997 0.16802502099997 0.499267797145625 "-" -2.43713242569638e-13 0.600591378809687 -0.426425930739112 0.395723313615788 -0.153840213696696 0.838929462556579 0.0393434960584022 0.00211605357018897 0.611636988436622 0.675368318598655 0.0700106455471862
"ABCC12" 0.0181970537710483 0.0181970537710483 0.169369241460356 "-" -0.103885657161898 0.980082829657847 -0.0141538353102147 0.0436716242695415 -0.224543502386512 0.125191993300901 -0.306781836354944 0.0417518742857347 0.454854388687104 0.10199948539769 -0.269371384866173
"ABCC2" 0.0942349930452233 0.0942349930452233 0.370546648360797 "+" 0.158951422247301 0.712878402553255 0.187685094101183 0.469256256376355 -0.0485554305327438 0.585376725127887 -0.00764294172819097 0.00167859768710914 0.636692989359583 0.529482602376844 0.100019531359457
"ABCC3" 1 1 1 "-" -0.0218404591570627 0.252798537987275 -0.549532378789527 0.494325385336198 0.0666145437833909 0.334455771281122 0.0400304973130032 0.547592017262247 -0.11717944680377 0.83000658227317 0.0388887635592792
"ABCC4" 0.00469229467596539 0.00469229467596539 0.0889143892366029 "-" -0.238900618962006 0.628549574181275 -0.337254422048562 0.000108340525979969 -0.581502281478974 0.1012099919598 -0.20653645599766 0.378795962014904 -0.196435615818565 0.788928558700457 -0.0562176078546466
"ABCC5" 0.134069037741521 0.134069037741521 0.446905646265562 "+" 0.200549665679286 0.261848873118197 0.850205214388083 0.024871132786415 0.345322529115065 0.216133733659979 0.0991621381755805 0.18159496995162 0.253653059667659 0.770123031412451 0.0531354234718204
"ABCC8" 0.453592168655489 0.453592168655489 0.832387407686638 "-" -2.43713242569638e-13 0.635494245091474 -0.397723901039859 0.954586918920196 0.00730206678780902 0.0732763302018989 0.326195077901029 0.275941871518958 -0.26058089146072 0.49881130593952 -0.125952392669948
"ABCC9" 0.231586978845514 0.231586978845514 0.58752919179915 "-" -0.119998337375672 0.341281182070446 -0.506134911385928 0.576560842417597 -0.079820609636917 0.102520804034243 -0.409527852520316 0.682614818713302 0.0902703287035537 0.0601917620566225 0.322440721050187
"ABCD1" 7.10712922856873e-05 7.10712922856873e-05 0.0133361749683647 "-" -2.43713242569638e-13 0.011455607167343 -2.33562314426659 0.0276460847138341 0.294578041750446 4.12126503160969e-05 0.541439845986271 0.899726664966129 -0.0296633152548039 0.67480927498078 -0.0732269574332538
"ABCD2" 0.251085438983687 0.251085438983687 0.612470347752841 "-" -0.0780590871678565 0.0726354934043223 -2.08115691990936 0.942460250974305 -0.0166532372955009 0.418695112779944 -0.137307909388529 0.024834916314669 0.450260029549835 0.739226267849681 -0.0670482971506879
"ABCD3" 0.173338026915907 0.173338026915907 0.506433884459778 "-" -0.0484521813167394 0.421551137806414 -0.45427279098418 0.0610339169618598 -0.200365425181169 0.654845901424304 0.036699601548816 0.144302111914796 -0.322812033418608 0.0877560543485385 0.335384066870257
"ABCD4" 1 1 1 "-" -2.43713242569638e-13 0.537433073453552 -0.480108166980448 0.916876338348551 -0.0187737074637684 0.343847214045145 0.156237128828105 0.309716935739895 -0.23653476336675 0.445218356126408 0.130156799994066
"ABCE1" 0.197562958069476 0.197562958069476 0.545220909150061 "+" 0.133995077358018 0.10528141108964 0.916300777582573 0.00927797027016149 0.457530959010737 0.876544108735461 -0.0323413247460085 0.657741713159701 -0.0901447897772711 0.167427562055998 0.276335351456829
"ABCF1" 0.387053643876422 0.387053643876422 0.764416695785393 "-" -0.029945899163377 0.59943883916339 -0.334129228761678 0.130041100980525 0.121514196997639 0.162406508380571 0.0823565014024088 0.202097651544699 -0.285661374663177 0.992620974331793 0.00162876663728021
